season,situation,name,toi,gp,gf,ga,gf60,ga60,gf_per,cf,ca,cf60,ca60,cf_per,sh_per,sv_per,pdo,csh_per,csv_per,cpdo,nzfo_per,dzfo_per,ozfo_per
2014-2015,5v5 All,Anaheim,3902:02:00,82,157,147,2.41,2.26,51.6,3608,3472,55.48,53.39,51,8.44,91.92,100.36,4.35,95.77,100.12,36.33,31.98,31.69
2014-2015,5v5 All,Arizona,3947:11:00,82,106,173,1.61,2.63,38,3612,3812,54.91,57.95,48.7,5.72,91.52,97.24,2.93,95.46,98.4,36.24,32.26,31.5
2014-2015,5v5 All,Boston,4014:19:00,82,140,136,2.09,2.03,50.7,3729,3484,55.74,52.07,51.7,7.12,92.99,100.11,3.75,96.1,99.85,34.93,32.59,32.48
2014-2015,5v5 All,Buffalo,3978:49:00,82,109,174,1.64,2.62,38.5,2678,4468,40.38,67.38,37.5,7.14,92.41,99.55,4.07,96.11,100.18,34.33,39.18,26.49
2014-2015,5v5 All,Calgary,3981:48:00,82,150,154,2.26,2.32,49.3,3321,4149,50.04,62.52,44.5,8.88,92.15,101.03,4.52,96.29,100.81,34.65,35.82,29.54
2014-2015,5v5 All,Carolina,4001:16:00,82,124,161,1.86,2.41,43.5,3836,3471,57.52,52.05,52.5,6.15,90.98,97.13,3.23,95.36,98.59,35.97,30.14,33.89
2014-2015,5v5 All,Chicago,3980:06:00,82,150,127,2.26,1.91,54.2,4001,3459,60.32,52.14,53.6,6.87,93.59,100.46,3.75,96.33,100.08,34.4,29.68,35.92
2014-2015,5v5 All,Colorado,3903:51:00,82,152,156,2.34,2.4,49.4,3078,4039,47.31,62.08,43.2,8.75,92.52,101.27,4.94,96.14,101.08,34.63,35.45,29.92
2014-2015,5v5 All,Columbus,3869:47:00,82,143,166,2.22,2.57,46.3,3231,3598,50.1,55.79,47.3,7.87,91.87,99.75,4.43,95.39,99.81,36.05,33.85,30.1
2014-2015,5v5 All,Dallas,3862:45:00,82,174,170,2.7,2.64,50.6,3965,3642,61.59,56.57,52.1,8.77,90.95,99.72,4.39,95.33,99.72,38.29,30.21,31.5
2014-2015,5v5 All,Detroit,3826:16:00,82,132,126,2.07,1.98,51.2,3361,2924,52.7,45.85,53.5,7.33,92.61,99.93,3.93,95.69,99.62,36.21,28.67,35.12
2014-2015,5v5 All,Edmonton,4066:27:00,82,131,197,1.93,2.91,39.9,3567,3853,52.63,56.85,48.1,7.1,90.19,97.29,3.67,94.89,98.56,37.27,31.42,31.31
2014-2015,5v5 All,Florida,3930:17:00,82,144,141,2.2,2.15,50.5,3524,3346,53.8,51.08,51.3,7.27,92.37,99.64,4.09,95.79,99.87,35.65,31.68,32.66
2014-2015,5v5 All,Los Angeles,3960:52:00,82,153,126,2.32,1.91,54.8,3905,3149,59.15,47.7,55.4,7.54,92.58,100.11,3.92,96,99.92,36.08,29.08,34.84
2014-2015,5v5 All,Minnesota,3911:55:00,82,165,144,2.53,2.21,53.4,3578,3433,54.88,52.65,51,8.51,91.85,100.36,4.61,95.81,100.42,35.93,31.27,32.79
2014-2015,5v5 All,Montreal,3932:52:00,82,145,121,2.21,1.85,54.5,3544,3762,54.07,57.39,48.5,7.93,93.68,101.61,4.09,96.78,100.88,35.88,34.03,30.1
2014-2015,5v5 All,Nashville,3933:01:00,82,165,125,2.52,1.91,56.9,3830,3435,58.43,52.4,52.7,8.08,93.1,101.18,4.31,96.36,100.67,33.9,32.48,33.62
2014-2015,5v5 All,New Jersey,3944:38:00,82,115,124,1.75,1.89,48.1,2969,3321,45.16,50.51,47.2,7.2,93.45,100.65,3.87,96.27,100.14,37.58,33.61,28.81
2014-2015,5v5 All,NY Islanders,3962:36:00,82,167,156,2.53,2.36,51.7,4050,3629,61.32,54.95,52.7,7.79,91.47,99.26,4.12,95.7,99.82,36.4,30.21,33.4
